county,population,cases,doses_administered,pfizer_doses,moderna_doses,jj_doses,partially_vaccinated,at_least_one_dose,fully_vaccinated,partially_vaccinated_percent,at_least_one_dose_percent,fully_vaccinated_percent,Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent,summer_2020_cases_per_100000
Santa Barbara,456373,5465,5,4,1,0,4,4,1,9.01E-06,9.01E-06,2.25E-06,0.095715588,0.648715427,0.004687055,0.32812383,0.012059559,0.006414128,1197.48539
Madera,160089,3671,1,1,0,0,0,0,0,0,0,0,0.123558484,0.431176952,0.004038562,0.54675054,0.011557359,0.006476588,2293.099463
Placer,400434,2727,20,16,4,0,12,12,8,2.10E-05,3.16E-05,2.10E-05,0.093817787,0.454599207,0.003313709,0.521039288,0.016793997,0.004253799,681.011103
Stanislaus,562303,12451,13,11,2,0,10,10,3,1.48E-05,1.85E-05,5.56E-06,0.128844555,0.492389069,0.003451901,0.484499009,0.011602482,0.008057538,2214.286603
Sutter,105747,1468,1,0,1,0,1,1,0,1.04E-05,1.04E-05,0,0.116883117,0.407255417,0.003189194,0.571592721,0.012217428,0.00574524,1388.219051
Tuolumne,52351,182,1,0,1,0,1,1,0,1.85E-05,1.85E-05,0,0.122156281,0.393909498,0.004768482,0.581721915,0.01443699,0.005163115,347.65334
Kings,156444,5224,0,0,0,0,0,0,0,0,0,0,0.124113475,0.426324069,0.002849912,0.548824696,0.013770776,0.008230546,3339.214032
Fresno,1032227,21078,8,6,2,0,6,6,2,5.11E-06,6.13E-06,2.04E-06,0.129931973,0.5289559,0.004039275,0.450688787,0.011046348,0.005269691,2041.992701
Napa,139652,1291,2,2,0,0,1,1,1,7.12E-06,7.12E-06,7.12E-06,0.106321839,0.69046431,0.004296604,0.286569647,0.012668053,0.006001386,924.4407527
Monterey,448732,7933,1,0,1,0,1,1,0,2.31E-06,2.31E-06,0,0.103967168,0.695161753,0.004569218,0.282443586,0.011102774,0.006722669,1767.870355
Lake,64871,502,0,0,0,0,0,0,0,0,0,0,0.109791217,0.518568652,0.007184506,0.455469943,0.012980702,0.005796196,773.843474
Modoc,9475,28,0,0,0,0,0,0,0,0,0,0,0.07788162,0.264793921,0.003453834,0.71586461,0.008979968,0.006907668,295.5145119
Sacramento,1567975,18593,166,110,56,0,103,103,63,4.37E-05,6.82E-05,4.17E-05,0.120679966,0.613562719,0.004529258,0.361067034,0.013598909,0.00724208,1185.796967
Ventura,852747,9063,21,17,4,0,11,12,9,1.30E-05,1.41E-05,1.06E-05,0.112426036,0.594543842,0.004176669,0.383626796,0.011988411,0.005664282,1062.800573
San Mateo,778001,6696,36,31,5,0,21,21,14,2.09E-05,2.74E-05,1.83E-05,0.093793747,0.778878346,0.004261846,0.201960716,0.009496301,0.005402791,860.6672742
Humboldt,134098,357,1,1,0,0,1,1,0,7.37E-06,7.37E-06,0,0.10652921,0.650291242,0.009078628,0.316226777,0.016443211,0.007960141,266.2232099
Riverside,2468145,35825,56,18,38,0,34,35,22,7.97E-06,1.47E-05,9.23E-06,0.131731117,0.529846885,0.003381617,0.450425009,0.009998436,0.006348054,1451.494949
Yolo,223612,2138,50,30,20,0,29,30,21,8.84E-05,0.00013955,9.77E-05,0.091341579,0.694780768,0.005622135,0.280510617,0.01239542,0.00669106,956.1204229
Santa Cruz,273999,2032,5,4,1,0,3,3,2,1.10E-05,1.10E-05,7.31E-06,0.106161841,0.788790157,0.007332381,0.185981483,0.01176495,0.00613103,741.608546
Orange,3228519,31802,123,102,21,0,82,82,41,1.52E-05,2.59E-05,1.30E-05,0.123227352,0.53478881,0.003822975,0.444446634,0.011382204,0.005559377,985.033695
Tulare,484423,10995,1,1,0,0,1,1,0,2.17E-06,2.17E-06,0,0.149489796,0.450045954,0.003288287,0.528161487,0.010198455,0.008305817,2269.710563
Alpine,1117,2,0,0,0,0,0,0,0,0,0,0,0.152173913,0.642375169,0.005398111,0.32928475,0.020242915,0.002699055,179.0510295
Mariposa,17795,44,0,0,0,0,0,0,0,0,0,0,0.112771739,0.39766537,0.003793774,0.578793774,0.015077821,0.004669261,247.2604664
Amador,38531,266,0,0,0,0,0,0,0,0,0,0,0.115891742,0.365539813,0.004931851,0.609083572,0.015647418,0.004797346,690.3532221
Sierra,3115,5,0,0,0,0,0,0,0,0,0,0,0.087301587,0.378042465,0.006732263,0.591403418,0.013982393,0.009839461,160.5136437
San Luis Obispo,278862,2922,0,0,0,0,0,0,0,0,0,0,0.098634294,0.552925855,0.004971386,0.422229736,0.01507695,0.004796073,1047.83011
San Bernardino,2217398,36158,19,6,13,0,13,13,6,3.75E-06,6.09E-06,2.81E-06,0.12686722,0.54196022,0.004302545,0.435434475,0.010451417,0.007851343,1630.649978
Merced,287420,7185,5,5,0,0,3,3,2,1.11E-05,1.11E-05,7.43E-06,0.13898917,0.541014201,0.004284736,0.435066369,0.01039159,0.009243104,2499.826039
Solano,444255,4563,5,5,0,0,3,3,2,4.56E-06,6.84E-06,4.56E-06,0.120868278,0.639406053,0.004653264,0.336637895,0.012021741,0.007281046,1027.112807
Glenn,29348,442,4,2,2,0,2,2,2,7.17E-05,7.17E-05,7.17E-05,0.101556102,0.353633708,0.003009649,0.625210233,0.011330442,0.006815969,1506.065149
Mendocino,88439,846,1,0,1,0,1,1,0,1.14E-05,1.14E-05,0,0.108843537,0.664097831,0.009090909,0.306114444,0.013636364,0.007060452,956.591549
Los Angeles,10257557,152710,505,433,69,3,317,323,186,1.93E-05,3.20E-05,1.84E-05,0.178748553,0.710278084,0.005079303,0.268628506,0.008313547,0.00770056,1488.756046
Yuba,79290,1006,2,0,2,0,1,1,1,1.32E-05,1.32E-05,1.32E-05,0.122516556,0.376896228,0.004161632,0.593233991,0.017116391,0.008591757,1268.760247
Marin,260800,3734,9,9,0,0,5,5,4,1.15E-05,1.92E-05,1.54E-05,0.090557276,0.823256112,0.004646089,0.157941346,0.009856895,0.004299557,1431.748466
Del Norte,27558,87,0,0,0,0,0,0,0,0,0,0,0.110869565,0.408364621,0.006810443,0.564131669,0.013097005,0.007596263,315.697801
Santa Clara,1967585,16579,125,118,7,0,71,72,55,2.08E-05,3.75E-05,2.86E-05,0.093169533,0.726386762,0.004748801,0.25226479,0.010732996,0.00586665,842.6065456
Kern,927251,22756,3,3,0,0,2,2,1,2.26E-06,2.26E-06,1.13E-06,0.151962075,0.436847346,0.003517943,0.538775992,0.012912228,0.007946491,2454.135935
Nevada,98710,400,2,2,0,0,1,1,1,1.01E-05,1.01E-05,1.01E-05,0.10028096,0.561528958,0.005328185,0.41357529,0.01419305,0.005374517,405.2274339
Tehama,65885,543,24,6,18,0,13,13,11,0.000173575,0.000205135,0.000173575,0.103146157,0.310152797,0.003132505,0.666214194,0.014026661,0.006473844,824.1633149
San Joaquin,782545,14885,15,10,5,0,7,8,8,5.46E-06,1.09E-05,1.09E-05,0.138419783,0.556064752,0.003671738,0.417894893,0.010107633,0.012260983,1902.127034
